Counting Timestamp,Counts
2022-09-02 05:35:00,0.0
2022-09-02 05:40:00,1.0
2022-09-02 05:45:00,0.0
2022-09-02 05:50:00,0.0
2022-09-02 05:55:00,0.0
2022-09-02 06:00:00,0.0
2022-09-02 06:05:00,0.0
2022-09-02 06:10:00,0.0
2022-09-02 06:15:00,0.0
2022-09-02 06:20:00,1.0
2022-09-02 06:25:00,3.0
2022-09-02 06:30:00,4.0
2022-09-02 06:35:00,4.0
2022-09-02 06:40:00,4.0
2022-09-02 06:45:00,4.0
2022-09-02 06:50:00,5.0
2022-09-02 06:55:00,7.0
2022-09-02 07:00:00,5.0
2022-09-02 07:05:00,5.0
2022-09-02 07:10:00,6.0
2022-09-02 07:15:00,5.0
2022-09-02 07:20:00,4.0
2022-09-02 07:25:00,5.0
2022-09-02 07:30:00,5.0
2022-09-02 07:35:00,6.0
2022-09-02 07:40:00,8.0
2022-09-02 07:45:00,10.0
2022-09-02 07:50:00,11.0
2022-09-02 07:55:00,16.0
2022-09-02 08:00:00,20.0
2022-09-02 08:05:00,22.0
2022-09-02 08:10:00,30.0
2022-09-02 08:15:00,26.0
2022-09-02 08:20:00,22.0
2022-09-02 08:25:00,15.0
2022-09-02 08:30:00,16.0
2022-09-02 08:35:00,18.0
2022-09-02 08:40:00,19.0
2022-09-02 08:45:00,21.0
2022-09-02 08:50:00,23.0
2022-09-02 08:55:00,24.0
2022-09-02 09:00:00,28.0
2022-09-02 09:05:00,32.0
2022-09-02 09:10:00,36.0
2022-09-02 09:15:00,33.0
2022-09-02 09:20:00,30.0
2022-09-02 09:25:00,37.0
2022-09-02 09:30:00,41.0
2022-09-02 09:35:00,42.0
2022-09-02 09:40:00,42.0
2022-09-02 09:45:00,40.0
2022-09-02 09:50:00,32.0
2022-09-02 09:55:00,32.0
2022-09-02 10:00:00,31.0
2022-09-02 10:05:00,30.0
2022-09-02 10:10:00,24.0
2022-09-02 10:15:00,23.0
2022-09-02 10:20:00,23.0
2022-09-02 10:25:00,22.0
2022-09-02 10:30:00,31.0
2022-09-02 10:35:00,35.0
2022-09-02 10:40:00,42.0
2022-09-02 10:45:00,42.0
2022-09-02 10:50:00,50.0
2022-09-02 10:55:00,60.0
2022-09-02 11:00:00,69.0
2022-09-02 11:05:00,75.0
2022-09-02 11:10:00,90.0
2022-09-02 11:15:00,106.0
2022-09-02 11:20:00,110.0
2022-09-02 11:25:00,123.0
2022-09-02 11:30:00,150.0
2022-09-02 11:35:00,173.0
2022-09-02 11:40:00,203.0
2022-09-02 11:45:00,212.0
2022-09-02 11:50:00,225.0
2022-09-02 11:55:00,229.0
2022-09-02 12:00:00,223.0
2022-09-02 12:05:00,231.0
2022-09-02 12:10:00,235.0
2022-09-02 12:15:00,220.0
2022-09-02 12:20:00,199.0
2022-09-02 12:25:00,179.0
2022-09-02 12:30:00,211.0
2022-09-02 12:35:00,200.0
2022-09-02 12:40:00,192.0
2022-09-02 12:45:00,179.0
2022-09-02 12:50:00,185.0
2022-09-02 12:55:00,157.0
2022-09-02 13:00:00,149.0
2022-09-02 13:05:00,139.0
2022-09-02 13:10:00,127.0
2022-09-02 13:15:00,122.0
2022-09-02 13:20:00,123.0
2022-09-02 13:25:00,119.0
2022-09-02 13:30:00,125.0
2022-09-02 13:35:00,118.0
2022-09-02 13:40:00,111.0
2022-09-02 13:45:00,102.0
2022-09-02 13:50:00,94.0
2022-09-02 13:55:00,86.0
2022-09-02 14:00:00,72.0
2022-09-02 14:05:00,59.0
2022-09-02 14:10:00,61.0
2022-09-02 14:15:00,54.0
2022-09-02 14:20:00,50.0
2022-09-02 14:25:00,42.0
2022-09-02 14:30:00,37.0
2022-09-02 14:35:00,35.0
2022-09-02 14:40:00,41.0
2022-09-02 14:45:00,36.0
2022-09-02 14:50:00,38.0
2022-09-02 14:55:00,39.0
2022-09-02 15:00:00,41.0
2022-09-02 15:05:00,36.0
2022-09-02 15:10:00,34.0
2022-09-02 15:15:00,33.0
2022-09-02 15:20:00,38.0
2022-09-02 15:25:00,36.0
2022-09-02 15:30:00,48.0
2022-09-02 15:35:00,52.0
2022-09-02 15:40:00,54.0
2022-09-02 15:45:00,53.0
2022-09-02 15:50:00,56.0
2022-09-02 15:55:00,52.0
2022-09-02 16:00:00,55.0
2022-09-02 16:05:00,55.0
2022-09-02 16:10:00,53.0
2022-09-02 16:15:00,51.0
2022-09-02 16:20:00,50.0
2022-09-02 16:25:00,50.0
2022-09-02 16:30:00,51.0
2022-09-02 16:35:00,56.0
2022-09-02 16:40:00,67.0
2022-09-02 16:45:00,71.0
2022-09-02 16:50:00,73.0
2022-09-02 16:55:00,68.0
2022-09-02 17:00:00,80.0
2022-09-02 17:05:00,79.0
2022-09-02 17:10:00,101.0
2022-09-02 17:15:00,116.0
2022-09-02 17:20:00,133.0
2022-09-02 17:25:00,160.0
2022-09-02 17:30:00,159.0
2022-09-02 17:35:00,162.0
2022-09-02 17:40:00,166.0
2022-09-02 17:45:00,163.0
2022-09-02 17:50:00,151.0
2022-09-02 17:55:00,146.0
2022-09-02 18:00:00,138.0
2022-09-02 18:05:00,143.0
2022-09-02 18:10:00,125.0
2022-09-02 18:15:00,118.0
2022-09-02 18:20:00,120.0
2022-09-02 18:25:00,118.0
2022-09-02 18:30:00,124.0
2022-09-02 18:35:00,135.0
2022-09-02 18:40:00,121.0
2022-09-02 18:45:00,121.0
2022-09-02 18:50:00,111.0
2022-09-02 18:55:00,104.0
2022-09-02 19:00:00,91.0
2022-09-02 19:05:00,99.0
2022-09-02 19:10:00,89.0
2022-09-02 19:15:00,91.0
2022-09-02 19:20:00,74.0
2022-09-02 19:25:00,67.0
2022-09-02 19:30:00,61.0
2022-09-02 19:35:00,54.0
2022-09-02 19:40:00,47.0
2022-09-02 19:45:00,42.0
2022-09-02 19:50:00,40.0
2022-09-02 19:55:00,42.0
2022-09-02 20:00:00,38.0
2022-09-02 20:05:00,37.0
2022-09-02 20:10:00,36.0
2022-09-02 20:15:00,37.0
2022-09-02 20:20:00,28.0
2022-09-02 20:25:00,22.0
2022-09-02 20:30:00,23.0
2022-09-02 20:35:00,24.0
2022-09-02 20:40:00,23.0
2022-09-02 20:45:00,23.0
2022-09-02 20:50:00,22.0
2022-09-02 20:55:00,20.0
2022-09-02 21:00:00,12.0
2022-09-02 21:05:00,12.0
2022-09-02 21:10:00,12.0
2022-09-02 21:15:00,10.0
2022-09-02 21:20:00,10.0
2022-09-02 21:25:00,10.0
2022-09-02 21:30:00,10.0
2022-09-02 21:35:00,10.0
2022-09-02 21:40:00,10.0
2022-09-02 21:45:00,10.0
2022-09-02 21:50:00,10.0
2022-09-02 21:55:00,10.0
2022-09-02 22:00:00,10.0
2022-09-02 22:05:00,10.0
2022-09-02 22:10:00,12.0
2022-09-02 22:15:00,11.0
2022-09-02 22:20:00,11.0
2022-09-02 22:25:00,12.0
2022-09-02 22:30:00,9.0
2022-09-02 22:35:00,8.0
2022-09-02 22:40:00,7.0
2022-09-02 22:45:00,4.0
2022-09-02 22:50:00,2.0
2022-09-02 22:55:00,2.0
2022-09-02 23:00:00,2.0
2022-09-02 23:05:00,2.0
2022-09-02 23:10:00,2.0
2022-09-02 23:15:00,2.0
2022-09-02 23:20:00,2.0
2022-09-02 23:25:00,2.0
2022-09-02 23:30:00,2.0
2022-09-02 23:35:00,1.0
2022-09-02 23:40:00,1.0
2022-09-02 23:45:00,1.0
2022-09-02 23:50:00,1.0
2022-09-02 23:55:00,1.0
2022-09-03 00:00:00,0.0
